Date,Date_Local,CO,NO,NO2,PM2_5,O3
7/11/2022 0:00,7/11/2022 1:00,NA,NA,NA,7,30.5
7/11/2022 1:00,7/11/2022 2:00,NA,NA,NA,8,25.8
7/11/2022 2:00,7/11/2022 3:00,0.135,0,5.8,7,22.8
7/11/2022 3:00,7/11/2022 4:00,0.146,0.1,5.8,7,18.8
7/11/2022 4:00,7/11/2022 5:00,0.13,0.2,6.7,9,14.7
7/11/2022 5:00,7/11/2022 6:00,0.157,1.7,10.3,9,13.3
7/11/2022 6:00,7/11/2022 7:00,0.15,3.2,9.8,7,18
7/11/2022 7:00,7/11/2022 8:00,0.136,1.3,4.7,12,30.5
7/11/2022 8:00,7/11/2022 9:00,0.122,0.6,2.9,9,38.6
7/11/2022 9:00,7/11/2022 10:00,0.118,0.3,2.1,7,42.3
7/11/2022 10:00,7/11/2022 11:00,0.108,0.4,2.4,4,46.1
7/11/2022 11:00,7/11/2022 12:00,0.104,0.3,2.5,8,48.5
7/11/2022 12:00,7/11/2022 13:00,0.102,0.3,2.5,10,49.1
7/11/2022 13:00,7/11/2022 14:00,0.102,0.4,2.6,8,49.8
7/11/2022 14:00,7/11/2022 15:00,0.101,0.3,2.1,5,48.3
7/11/2022 15:00,7/11/2022 16:00,0.096,0.2,2.1,8,50.9
7/11/2022 16:00,7/11/2022 17:00,0.081,0.2,1.8,6,46.4
7/11/2022 17:00,7/11/2022 18:00,0.09,0.2,1.7,5,43.1
7/11/2022 18:00,7/11/2022 19:00,0.122,0.1,1.9,3,40.6
7/11/2022 19:00,7/11/2022 20:00,0.099,0.1,2.6,3,36
7/11/2022 20:00,7/11/2022 21:00,0.082,0.1,2.6,8,34.3
7/11/2022 21:00,7/11/2022 22:00,0.101,0.1,2.5,7,33.9
7/11/2022 22:00,7/11/2022 23:00,0.08,0.1,2.1,5,32
7/11/2022 23:00,7/12/2022 0:00,0.078,0.1,1.8,5,30.4
7/12/2022 0:00,7/12/2022 1:00,0.128,0.1,1.9,4,29.8
7/12/2022 1:00,7/12/2022 2:00,0.129,0.1,1.3,3,30.1
7/12/2022 2:00,7/12/2022 3:00,0.146,0.1,1.8,2,28.7
7/12/2022 3:00,7/12/2022 4:00,0.127,0.1,1.3,4,29.2
7/12/2022 4:00,7/12/2022 5:00,0.118,0.1,2.7,6,NA
7/12/2022 5:00,7/12/2022 6:00,0.128,0.4,4.1,4,24.2
7/12/2022 6:00,7/12/2022 7:00,0.126,1.1,4.8,5,26.4
7/12/2022 7:00,7/12/2022 8:00,0.11,1,4,11,31.8
7/12/2022 8:00,7/12/2022 9:00,0.107,0.6,2.8,9,38.5
7/12/2022 9:00,7/12/2022 10:00,0.112,0.3,2.2,6,45.2
7/12/2022 10:00,7/12/2022 11:00,0.106,2.9,3.2,7,46.1
7/12/2022 11:00,7/12/2022 12:00,0.119,0.9,2.2,9,41.6
7/12/2022 12:00,7/12/2022 13:00,0.146,0.3,1.4,10,39.2
7/12/2022 13:00,7/12/2022 14:00,0.16,0.2,1.3,8,38.8
7/12/2022 14:00,7/12/2022 15:00,0.143,0.3,1.4,9,39.3
7/12/2022 15:00,7/12/2022 16:00,0.15,0.3,1.6,8,39.9
7/12/2022 16:00,7/12/2022 17:00,0.146,0.2,1.5,9,42.6
7/12/2022 17:00,7/12/2022 18:00,0.155,0.1,1.4,12,41.7
7/12/2022 18:00,7/12/2022 19:00,0.161,0.1,2,9,39.9
7/12/2022 19:00,7/12/2022 20:00,0.133,0.1,2.5,8,37.8
7/12/2022 20:00,7/12/2022 21:00,0.148,0.1,3.6,7,45.5
7/12/2022 21:00,7/12/2022 22:00,0.144,0.4,7.5,6,36.5
7/12/2022 22:00,7/12/2022 23:00,0.143,0.3,6.2,9,36.4
7/12/2022 23:00,7/13/2022 0:00,0.121,0.3,7.5,10,21.2
7/13/2022 0:00,7/13/2022 1:00,0.102,0.3,4.8,9,26.3
7/13/2022 1:00,7/13/2022 2:00,0.156,0.4,5.1,10,23.2
7/13/2022 2:00,7/13/2022 3:00,0.141,0.2,5.6,9,18.2
7/13/2022 3:00,7/13/2022 4:00,0.116,0.3,6.4,7,12.4
7/13/2022 4:00,7/13/2022 5:00,0.054,0.6,7.5,8,10.9
7/13/2022 5:00,7/13/2022 6:00,0.062,1.5,7.7,9,19.9
7/13/2022 6:00,7/13/2022 7:00,0.235,1.3,5.3,10,25.9
7/13/2022 7:00,7/13/2022 8:00,0.243,1.1,3.5,6,29.5
7/13/2022 8:00,7/13/2022 9:00,0.242,0.9,2.7,7,34.6
7/13/2022 9:00,7/13/2022 10:00,0.201,0.6,2,6,40.7
7/13/2022 10:00,7/13/2022 11:00,0.216,0.5,2,6,NA
7/13/2022 11:00,7/13/2022 12:00,0.206,0.6,1.9,7,NA
7/13/2022 12:00,7/13/2022 13:00,0.221,0.6,1.9,6,45.6
7/13/2022 13:00,7/13/2022 14:00,0.225,0.5,1.7,3,44.9
7/13/2022 14:00,7/13/2022 15:00,0.239,0.5,1.7,2,47
7/13/2022 15:00,7/13/2022 16:00,0.247,0.5,1.8,5,45.4
7/13/2022 16:00,7/13/2022 17:00,0.257,0.4,1.7,6,45.4
7/13/2022 17:00,7/13/2022 18:00,0.24,0.3,1.8,4,44.9
7/13/2022 18:00,7/13/2022 19:00,0.22,0.2,2.4,2,43.1
7/13/2022 19:00,7/13/2022 20:00,0.2,0.2,4.1,2,39.3
7/13/2022 20:00,7/13/2022 21:00,0.259,0.1,8.6,6,28.8
7/13/2022 21:00,7/13/2022 22:00,0.287,0.1,11.3,8,24.7
